depmap_id,cell_line_name,OncotreeLineage,OncotreePrimaryDisease,prism_doxorubicin_lfc,relative_abundance_vs_control,relative_abundance_percent,doxorubicin_sensitivity_score,ATM,CHEK2,HIPK2,MDM2,PPM1D,SIAH1,TP53,WSB1,CDKN1A,BAX,BBC3,GADD45A,MDM4,ATR,CHEK1,CASP3
ACH-000927,BT474,Breast,Invasive Breast Carcinoma,-2.94052173452,0.1302611041152864,13.026110411528641,2.94052173452,3.3832979202,4.233259201,4.7772989273,4.5132884979,4.8558454514,5.2122035027,6.1063337326,5.8024439812,4.1870393753,5.5416574478,3.8411176205,4.0301508904,3.1388947964,4.0129170418,4.913497448,5.6536850929
ACH-000288,BT549,Breast,Invasive Breast Carcinoma,-4.06009315042,0.05995013653533595,5.995013653533595,4.06009315042,4.446937561,4.7809348106,3.2731175423,3.5530040264,2.5443320274,4.191649437,7.3029770851,6.1155786514,3.8962233067,7.3009748459,1.8882347345,7.0656046867,3.1524803638,4.3249545097,5.6325297356,5.1283760071
ACH-000212,CAL120,Breast,Invasive Breast Carcinoma,-5.1327528619,0.028502793620569743,2.850279362056974,5.1327528619,5.2465028763,3.8366413116,2.5909061432,6.333214283,2.235445261,4.1951742172,4.0521202087,6.1015090942,3.7163543701,6.6510920525,2.6522226334,7.2512741089,3.2603719234,4.0817656517,4.7277355194,4.6860632896
ACH-000856,CAL51,Breast,Invasive Breast Carcinoma,-5.33926951657,0.024701294899036177,2.4701294899036177,5.33926951657,5.3604168892,4.500878334,4.8675408363,5.605070591,3.3940064907,4.8767132759,6.4192066193,7.7157492638,4.7115225792,6.8271331787,4.0445342064,4.7588148117,4.3968582153,4.6743588448,5.0475473404,5.6624588966
ACH-000783,CAMA1,Breast,Invasive Breast Carcinoma,-1.70843875023,0.30599102642101295,30.599102642101293,1.70843875023,2.7903487682,4.3454957008,2.829944849,5.2147231102,3.0853023529,5.2067875862,5.4344182014,5.709125042,4.7219958305,6.7925562859,3.6865341663,2.7448585033,4.1713027954,3.7950499058,4.1514043808,4.9972472191
ACH-000330,EFM19,Breast,Invasive Breast Carcinoma,-2.74770475186,0.14888757295670849,14.888757295670848,2.74770475186,3.6391973495,3.8771748543,3.5200576782,5.0147838593,4.0032691956,4.1822948456,5.3509249687,6.1237902641,1.7659802437,6.4824886322,3.790719986,2.1049170494,5.0076618195,4.52389431,4.7943482399,4.4833254814
ACH-000117,EFM192A,Breast,Invasive Breast Carcinoma,-3.9214329645,0.0659980420636511,6.599804206365111,3.9214329645,3.7066299915,3.6175453663,2.4361646175,5.4107446671,4.3345184326,3.9673161507,2.8063735962,4.3725967407,5.146463871,6.6176261902,3.4689872265,2.2229404449,4.4782600403,3.9384458065,4.2930908203,5.1861639023
ACH-000374,HCC1143,Breast,Invasive Breast Carcinoma,-4.08042312091,0.05911126392690965,5.911126392690965,4.08042312091,4.2692575455,5.6510429382,3.0838618279,6.8200001717,2.4747371674,4.3690962791,7.2583870888,5.5716495514,6.3277287483,6.6199250221,3.2973675728,7.3560733795,4.7292265892,5.0817613602,4.5598711967,4.4834547043
ACH-000699,HCC1395,Breast,Invasive Breast Carcinoma,-2.95458870789,0.12899716745326006,12.899716745326007,2.95458870789,3.7801315784,5.1442542076,4.6618976593,3.5599200726,2.2920749187,5.3914241791,7.1215643883,6.4800229073,4.0065674782,5.5340957642,2.1337673664,6.1714448929,3.6374015808,4.6565136909,5.1810069084,4.1835975647
ACH-000277,HCC1419,Breast,Invasive Breast Carcinoma,-2.94539232743,0.12982207921063052,12.982207921063052,2.94539232743,3.6153337955,4.4062099457,1.7884392738,4.9952583313,3.2084829807,3.7715263367,4.4002985954,4.5436258316,4.8043789864,5.5700836182,2.8448255062,3.8476061821,3.9903104305,3.6569766998,4.0278530121,5.3510065079
ACH-000352,HCC1428,Breast,Invasive Breast Carcinoma,-3.29847960212,0.10163860593424633,10.163860593424632,3.29847960212,3.3769292831,3.94272089,3.1244208813,6.3013353348,3.7292699814,4.6028785706,6.1999530792,5.1502022743,3.2879154682,6.9733586311,1.5846835375,4.012032032,5.0670490265,3.6554434299,5.3517274857,3.3330299854
ACH-000624,HCC1806,Breast,Breast Ductal Carcinoma In Situ,-5.68564357534,0.01942901301365489,1.9429013013654892,5.68564357534,4.056678772,3.6645739079,1.5193053484,3.6191663742,1.7983533144,3.1587440968,3.8808031082,5.613740921,3.7737326622,6.1022086143,2.2864673138,4.412727356,2.6978917122,3.4885663986,4.1255435944,3.9584901333
ACH-000223,HCC1937,Breast,Invasive Breast Carcinoma,-2.1007338936,0.23313962045652425,23.313962045652424,2.1007338936,3.7756404877,4.8000664711,1.6769398451,4.4217014313,3.3220419884,4.8385586739,4.3062405586,5.6139764786,5.4145550728,7.2842922211,2.857732296,6.5122933388,3.0482971668,3.943461895,6.1311306953,5.0840601921
ACH-000276,HCC38,Breast,Invasive Breast Carcinoma,-0.669114032209,0.6288927755740741,62.88927755740741,0.669114032209,4.5080294609,3.6583714485,5.4998393059,4.8328952789,4.2279334068,5.2089657784,5.2694220543,7.0135293007,4.9596033096,6.6310024261,2.4905238152,4.1022129059,4.4989590645,4.4345350266,4.419511795,5.3238854408
ACH-000643,HDQP1,Breast,Invasive Breast Carcinoma,-5.35603892557,0.02441583747914633,2.441583747914633,5.35603892557,3.0350308418,4.1308569908,2.0219948292,3.4088435173,2.4756608009,3.7485685349,3.7970647812,6.7449550629,3.830103159,6.1537284851,2.0239899158,5.6002283096,2.2854969501,2.7679810524,4.2346315384,4.1152329445
ACH-000721,HMC18,Breast,Invasive Breast Carcinoma,-2.59612004492,0.16538266812297095,16.538266812297095,2.59612004492,4.9804916382,4.4367613792,1.5408158302,3.7888839245,2.6611955166,3.8587667942,2.8713724613,6.4890756607,3.2598102093,6.6802120209,4.2624406815,5.8857474327,3.9754650593,4.6579713821,4.533762455,3.9920523167
ACH-000711,JIMT1,Breast,Invasive Breast Carcinoma,-3.54734584037,0.0855347316219018,8.55347316219018,3.54734584037,3.5436320305,4.7997503281,3.3708045483,4.3491106033,2.3917071819,4.7521224022,6.7568497658,6.2701497078,3.6855814457,7.1604061127,3.0602738857,6.0140361786,1.6577086449,3.7492339611,4.4564580917,3.9393959045
ACH-000759,MDAMB175VII,Breast,Invasive Breast Carcinoma,-2.23062285696,0.21306671545974593,21.30667154597459,2.23062285696,2.4000678062,3.7703957558,3.414347887,4.8411326408,2.3170406818,3.6121046543,3.954885006,6.4196400642,6.6669268608,7.3012127876,2.1965472698,3.1635229588,4.5249099731,3.6636064053,2.9234116077,5.0008382797
ACH-000768,MDAMB231,Breast,Invasive Breast Carcinoma,-5.23373111961,0.026576020111254244,2.6576020111254244,5.23373111961,4.3112778664,3.4711873531,4.3884167671,4.319914341,2.8489444256,3.8506393433,5.5414962769,5.9754900932,6.6670265198,7.6986074448,2.1194558144,6.4622092247,3.5013372898,3.655454874,5.9009394646,4.7090644836
ACH-000934,MDAMB361,Breast,Invasive Breast Carcinoma,-2.95708100406,0.12877451360215242,12.877451360215241,2.95708100406,3.3147718906,3.8718731403,3.3343222141,5.3975734711,4.4496073723,3.9047539234,3.9340541363,6.2995266914,7.3930387497,7.3571472168,3.4865598679,5.5518665314,3.6745398045,4.0654430389,4.7380003929,5.1830101013
ACH-000573,MDAMB436,Breast,Invasive Breast Carcinoma,-4.55913828808,0.04241921437530288,4.241921437530288,4.55913828808,3.8740689754,4.4989910126,4.7270383835,4.9098501205,2.2051954269,3.775598526,5.0138640404,5.8653326035,3.8944685459,7.0976319313,2.488057375,6.801068306,3.9749054909,3.5388610363,4.7390756607,4.2358956337
ACH-000849,MDAMB468,Breast,Invasive Breast Carcinoma,-4.26563850386,0.05198940650364063,5.198940650364063,4.26563850386,3.9185101986,4.6835451126,2.4515988827,4.5554847717,2.8849377632,4.7836241722,6.6290245056,5.1815400124,5.0357823372,6.5826253891,2.4955954552,7.3602061272,3.1824777126,4.1000947952,5.9524383545,4.9598813057
ACH-000147,T47D,Breast,Invasive Breast Carcinoma,-2.21294834334,0.21569305903151398,21.5693059031514,2.21294834334,4.6663703918,4.9267444611,2.5389056206,5.4099473953,3.2069525719,3.3150966167,5.8097696304,6.3826775551,4.3597531319,5.2661380768,1.3633561134,1.8276442289,4.9723067284,4.2968978882,6.0011672974,3.9617528915
ACH-000097,ZR751,Breast,Invasive Breast Carcinoma,-5.42760775729,0.023234175225447976,2.3234175225447977,5.42760775729,4.5560369492,5.3079204559,2.1747164726,6.776512146,2.8249571323,4.3857069016,4.2614555359,5.8433408737,6.4472303391,6.0805401802,2.6877729893,3.775282383,6.3329763412,4.4485378265,4.4395699501,5.0890703201
ACH-000859,HCC1954,Breast,Invasive Breast Carcinoma,-7.30322759006,0.0063315410981273,0.63315410981273,7.30322759006,3.8846077919,5.529964447,2.3612236977,4.1059799194,2.8671352863,4.6751046181,6.6445069313,6.7211813927,6.1071314812,6.829126358,1.6429048777,5.7313842773,3.6371350288,4.1158738136,4.9698505402,5.1130046844
ACH-000019,MCF7,Breast,Invasive Breast Carcinoma,-4.47203472621,0.04505919262843502,4.505919262843502,4.47203472621,3.1730890274,5.113462925,3.2917199135,5.9146289825,6.637717247,3.3540048599,6.705991745,6.0898985863,7.2742614746,6.3937783241,2.8882989883,4.1538052559,5.2093987465,4.1238398552,4.0478787422,2.744238615
